work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2025,SE,FT,Engineer,120000,USD,120000,GB,100,GB,M
2025,SE,FT,Engineer,90000,USD,90000,GB,100,GB,M
2025,EN,FT,Data Analyst,50000,GBP,63291,GB,0,GB,M
2025,EN,FT,Data Analyst,29000,GBP,36708,GB,0,GB,M
2025,EN,FT,Data Scientist,49363,GBP,62484,GB,0,GB,M
2025,EN,FT,Data Scientist,41123,GBP,52054,GB,0,GB,M
2025,SE,FT,Data Analyst,72000,EUR,75789,DE,0,DE,M
2025,SE,FT,Data Analyst,52752,EUR,55528,DE,0,DE,M
2025,MI,FT,Data Manager,32654,GBP,41334,GB,0,GB,M
2025,MI,FT,Data Manager,31067,GBP,39325,GB,0,GB,M
2025,MI,FT,AI Engineer,49200,EUR,51789,LT,0,LT,M
2025,MI,FT,AI Engineer,45600,EUR,48000,LT,0,LT,M
2025,SE,FT,AI Engineer,54000,EUR,56842,LT,0,LT,M
2025,SE,FT,AI Engineer,48000,EUR,50526,LT,0,LT,M
2025,SE,FT,Software Engineer,70800,EUR,74526,LT,0,LT,M
2025,SE,FT,Software Engineer,60000,EUR,63157,LT,0,LT,M
2025,EN,FT,Data Analyst,25000,GBP,31645,GB,0,GB,M
2025,EN,FT,Data Analyst,25000,GBP,31645,GB,0,GB,M
2025,SE,FT,Data Infrastructure Engineer,96000,EUR,101052,LT,0,LT,M
2025,SE,FT,Data Infrastructure Engineer,60000,EUR,63157,LT,0,LT,M
2025,EN,FT,Consultant,20160,EUR,21221,SK,0,SK,M
2025,EN,FT,Consultant,18000,EUR,18947,SK,0,SK,M
2025,SE,FT,Data Engineer,45000,EUR,47368,FR,0,FR,M
2025,SE,FT,Data Engineer,40000,EUR,42105,FR,0,FR,M
2025,MI,FT,Data Governance,38400,EUR,40421,LT,0,LT,M
2025,MI,FT,Data Governance,34800,EUR,36631,LT,0,LT,M
2025,SE,FT,Data Engineer,83000,GBP,105063,GB,0,GB,M
2025,SE,FT,Data Engineer,68000,GBP,86075,GB,0,GB,M
2025,SE,FT,Data Architect,45936,EUR,48353,AT,0,AT,M
2025,SE,FT,Data Architect,45936,EUR,48353,AT,0,AT,M
2025,SE,FT,Engineer,150000,GBP,189873,GB,100,GB,M
2025,SE,FT,Engineer,90000,GBP,113924,GB,100,GB,M
2025,SE,FT,Software Engineer,36000,EUR,37894,LT,0,LT,M
2025,SE,FT,Software Engineer,28800,EUR,30315,LT,0,LT,M
2025,SE,FT,Data Scientist,71000,GBP,89873,GB,0,GB,M
2025,SE,FT,Data Scientist,71000,GBP,89873,GB,0,GB,M
2024,SE,FT,Engineer,63480,EUR,70533,LT,0,LT,M
2024,SE,FT,Engineer,49680,EUR,55200,LT,0,LT,M
2024,EN,FT,Data Analyst,24000,EUR,26666,AM,100,AM,M
2024,EN,FT,Data Analyst,14400,EUR,16000,AM,100,AM,M
2024,EN,FT,Data Analyst,29820,GBP,37275,GB,0,GB,M
2024,EN,FT,Data Analyst,28329,GBP,35411,GB,0,GB,M
2024,SE,FT,Manager,142632,GBP,178290,GB,0,GB,M
2024,SE,FT,Manager,113135,GBP,141418,GB,0,GB,M
2024,MI,FT,Data Scientist,45000,GBP,56250,GB,0,GB,M
2024,MI,FT,Data Scientist,40000,GBP,50000,GB,0,GB,M
2024,EX,FT,Data Engineer,58000,EUR,64444,FR,0,FR,M
2024,EX,FT,Data Engineer,48000,EUR,53333,FR,0,FR,M
2024,EN,FT,Data Analyst,45000,EUR,50000,LU,0,LU,M
2024,MI,FT,Data Engineer,60000,GBP,75000,GB,0,GB,M
2024,MI,FT,Data Engineer,49000,GBP,61250,GB,0,GB,M
2024,SE,FT,Architect,58000,EUR,64444,FR,0,FR,M
2024,SE,FT,Architect,48000,EUR,53333,FR,0,FR,M
2024,MI,FT,Data Analyst,50000,EUR,55555,NL,0,NL,M
2024,MI,FT,Data Analyst,40000,EUR,44444,NL,0,NL,M
2024,EN,FT,Data Analyst,35000,GBP,43750,GB,0,GB,M
2024,EN,FT,Data Analyst,30000,GBP,37500,GB,0,GB,M
2024,EX,FT,Data Scientist,26736,EUR,29706,AT,0,AT,M
2024,EX,FT,Data Scientist,26736,EUR,29706,AT,0,AT,M
2024,SE,FT,Engineer,70000,EUR,77777,NL,0,NL,M
2024,SE,FT,Engineer,55000,EUR,61111,NL,0,NL,M
2024,SE,FT,Consultant,82164,EUR,91293,NL,0,NL,M
2024,SE,FT,Consultant,82164,EUR,91293,NL,0,NL,M
2024,SE,FT,Analyst,55000,GBP,68750,GB,0,GB,M
2024,SE,FT,Analyst,45000,GBP,56250,GB,0,GB,M
2024,MI,FT,Manager,90000,GBP,112500,GB,0,GB,M
2024,MI,FT,Manager,70000,GBP,87500,GB,0,GB,M
2024,SE,FT,Data Engineer,183551,GBP,229438,GB,0,GB,M
2024,SE,FT,Data Engineer,100657,GBP,125821,GB,0,GB,M
2024,SE,FT,Data Product Owner,85000,GBP,106250,GB,0,GB,M
2024,SE,FT,Data Product Owner,65000,GBP,81250,GB,0,GB,M
2024,MI,FT,Data Engineer,43990,GBP,54987,GB,100,GB,M
2024,MI,FT,Data Engineer,38000,GBP,47500,GB,100,GB,M
2024,EN,FT,Data Analyst,45000,GBP,56250,GB,0,GB,M
2024,EN,FT,Data Analyst,40000,GBP,50000,GB,0,GB,M
2024,MI,FT,Machine Learning Engineer,48600,GBP,60750,GB,0,GB,M
2024,MI,FT,Machine Learning Engineer,48600,GBP,60750,GB,0,GB,M
2024,SE,FT,Data Analytics Consultant,63000,GBP,78750,GB,0,GB,M
2024,SE,FT,Data Analytics Consultant,50000,GBP,62500,GB,0,GB,M
2024,EN,FT,Data Analyst,52000,EUR,57777,FR,0,FR,M
2024,EN,FT,Data Analyst,48000,EUR,53333,FR,0,FR,M
2024,EN,FT,Analyst,193000,USD,193000,IT,0,IT,M
2024,EN,FT,Analyst,84600,USD,84600,IT,0,IT,M
2024,SE,FT,Software Developer,45600,EUR,50666,LT,0,LT,M
2024,SE,FT,Software Developer,37200,EUR,41333,LT,0,LT,M
2024,MI,FT,Software Developer,42480,EUR,47200,LT,0,LT,M
2024,MI,FT,Software Developer,36240,EUR,40266,LT,0,LT,M
2024,MI,FT,Data Engineer,85000,GBP,106250,GB,0,GB,M
2024,MI,FT,Data Engineer,55000,GBP,68750,GB,0,GB,M
2024,EN,FT,Data Engineer,31200,EUR,34666,SK,0,SK,M
2024,EN,FT,Data Engineer,19200,EUR,21333,SK,0,SK,M
2024,MI,PT,Data Engineer,46305,EUR,51450,AT,0,AT,M
2024,MI,PT,Data Engineer,46305,EUR,51450,AT,0,AT,M
2024,SE,FT,Data Scientist,31260,EUR,34733,AT,0,AT,M
2024,SE,FT,Data Scientist,31260,EUR,34733,AT,0,AT,M
2024,SE,FT,Data Scientist,70000,EUR,77777,AT,0,AT,M
2024,SE,FT,Data Scientist,70000,EUR,77777,AT,0,AT,M
2024,EX,FT,Head of Data,71872,GBP,89840,GB,0,GB,M
2024,EX,FT,Head of Data,71872,GBP,89840,GB,0,GB,M
2024,SE,FT,Data Scientist,100000,GBP,125000,GB,0,GB,M
2024,SE,FT,Data Scientist,95000,GBP,118750,GB,0,GB,M
2024,SE,FT,Data Engineer,60000,GBP,75000,GB,0,GB,M
2024,SE,FT,Data Engineer,45000,GBP,56250,GB,0,GB,M
2024,EN,FT,Research Associate,50685,GBP,63356,GB,0,GB,M
